"EDR151899","[- - -]o<br>[- - -]foro "
"EDR153000","Mode&#818;r&#818;atus&#818;"
"EDR153110","Q(uintus)  M[---] Antu[s ---]"
"EDR076752","Antoni Ma[---]"
"EDR076753","Munera Poppaea misit Veneri sanctissimae berullum helencumque (:elenchumque); unio mixtus erat."
"EDR076754","Caesar ut ad Venerem venet (:venit) sanctissimam ut tui te vexere pedes<br>caelestes Auguste millia milliorum ponderis auri fuit"
"EDR076755","Pro salutem (:salute) reditum (:reditu) et victoria<br>C(ai) Iuli Philippi votum h[ic] fecit Laribus<br>P(ublius) Cornelius Felix et Vitalis Cuspi"
"EDR076757","Memor Cassi Cascellius"
"EDR076758","Paris invicte nica (:&#957;&#953;&#954;&#940;)"
"EDR077696","Si ICNVS (:cycnus) in caelo est hac ++"
"EDR077698","Floronius<br>binet ac miles<br>leg(ionis) VII hic<br>fuit neque<br>mulieres<br>scierunt nisi<br>paucae et<br>ses erunt"
"EDR079495","T(h)iop(h)ilus canis<br>cunnu(m) lingere no=<br>li puellis in muro"
"EDR079713","Nigru(m?)<br>cum Nesto<br>Cumis"
"EDR079714","Cernite Thebaides modo tales sed Bromios regia Menas"
"EDR148672","Vasa in camella<br>I&#803;e&#803;++  VI"
"EDR148654","Auctus Iuli Aug[-]"
"EDR127829","Menedemeru(menus)"
"EDR127413","VII<br>N"
"EDR151816","Lagunas (:lagoenas)"
"EDR151822","Vasileus habitat<br>Putelis (:Puteolis) in castris August[i- - -]<br>su(b) Valeri[o- - -]"
"EDR148652","Sex(tus) Decimius Rufus<br>milis (:miles) coh(ortis) V pr(aetorianae) ((centuria)) Martialis"
"EDR081355","Quinqagigenta (:quinquagenta)<br>uberant (:ubi erant)<br>exinde ocio"
"EDR081356","[---? mira]bile signum Laurentis ru[ris?]"
"EDR081693","Philod(emus?)"
"EDR124968","Quartila (:Quartilla)"
"EDR124971","IIIIIIIIIIIIIIIIIIIII IIIIIIIIIIIII"
"EDR124993","Quartila (:Quartilla) va(le)"
"EDR124994","[C]ypare va(le)"
"EDR124995","Quartilla va(le)"
"EDR124996","Quartill[-]a"
"EDR124998","salute&#803; (:salutem) venientis "
"EDR124999","Cosmus"
"EDR125000","Oppi"
"EDR124967","Quartila (:Quartilla) vale "
"EDR124969","IIIIIIIIIIIIIIII<br>IIIIIIIIIIII IIIIIII<br>IIIIIIIII II IIIIIIII<br>IIIII IIIIIII"
"EDR124970","Caniu"
"EDR124972","((:viri facies ad sin.))"
"EDR124973","((:circulus continens florem))"
"EDR124974","((:circulus))"
"EDR124975","quos L(---) V(---) P(---) amat valeant"
"EDR124976","((:equus ad sin. incedens))<br>"
"EDR124977","((:navis cum remis maloque))"
"EDR124978","((:navis cum remis))"
"EDR124981","Anthis  va(le)"
"EDR124982","Anthis va(le)"
"EDR124983","Nicopolis va(le)"
"EDR124984","Nicopolis v&#770;a(le)"
"EDR124987","Hantis (:Anthis)"
"EDR124989","[Eu]plia"
"EDR124991","Plataco <br>turuda"
"EDR124992","va(le) Quartilla"
"EDR125002","((:viri facies ad sin.))"
"EDR125529","Caesar[is] Augusti mater femina era(t)"
"EDR125532","Q(uintus) Iunius"
"EDR127147","Eros <br>Thymele&#803;<br>"
"EDR127157","Qua(dratus)"
"EDR127158","VIII &#12296;:vacat&#12297; VIII"
"EDR127191","Urs(us)"
"EDR127188","M    <br>B     <br>M       <br>XX"
"EDR127080","M(arcus) Titinius<br>cinaedus<br>L&#773;V&#773;"
"EDR127160","((centuria)) Montani&#770;"
"EDR127424","Nec prius<br>absistit qua[m]<br>septe(m) ingentia<br>victor Corpora<br>funda(t) hum(i) "
"EDR127140","Nonnius<br><br><br>"
"EDR127234","&#12296;:ad perpendiculum&#12297; <br>M(arcus) Atillius (:Atilius) hic stationem fecit <br>"
"EDR127299","Icare v&#803;(ale)"
"EDR127403","&#12296;:stria 1&#12297;<br>X <br> <br>&#12296;:stria 2&#12297;<br>O <br> <br>&#12296;:stria 8&#12297;<br>A <br> <br>&#12296;:stria 12&#12297;<br>M <br> <br>&#12296;:stria 14&#12297;<br>X<br> <br>&#12296;:stria 20&#12297;<br> X"
"EDR127406","&#12296;:ad perpendiculum&#12297;<br>Castalo s(alutem)"
"EDR127428","Eo<br>v&#770;a(le)<br>Chloe"
"EDR127081","Cupr=<br>on=<br>ius=<br>epol<br>Romul=<br>us in<br>caelo <br>Martis<br>equita (:equitat)"
"EDR127145","Iucundus fututor <br><br><br>"
"EDR127396","Mus cave <br>malum"
"EDR127801","Aptus "
