AGP-EDR140151,Herculaneum,432873,"A(ulus) Tati(us?)
[- - -]p&#818;r&#818;ius","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali (Terme Femminili)",1,79,Latin,Graffito/incised
AGP-EDR151802,Herculaneum,432873,M&#770;M&#770;M&#770;Mu&#818;s&#818;,"Ercolano (Napoli), Insula III.11, Casa del Tramezzo di Legno",1,79,Latin,Graffito/incised
AGP-EDR154043,Herculaneum,432873,"Septembr(es)
III idus pro tunica ((denarius)) I a(sses) VIII","Ercolano (Napoli), Insula Orientalis II.10, Bottega del Gemmario",1,79,Latin,Graffito/incised
AGP-EDR153484,Herculaneum,432873,HIMME,"Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
AGP-EDR152963,Herculaneum,432873,XX IIIIIIIII,"Ercolano (Napoli), Insula VI.29, Casa dei Due Atri",1,79,Latin,Graffito/incised
AGP-EDR151948,Herculaneum,432873,R&#7865;mmius Rufus,"Ercolano (Napoli), Insula III.11, Casa del Tramezzo di Legno",1,79,Latin,Graffito/incised
AGP-EDR151899,Herculaneum,432873,"[- - -]o
[- - -]foro","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
AGP-EDR140171,Herculaneum,432873,"Saturnina[e]
matr(i) uncus
a(ssibus) III
","Ercolano (Napoli), Insula IV.6, Facade",1,79,Latin,Graffito/incised
AGP-EDR140179,Herculaneum,432873,P S edituis (:aedituus),"Ercolano (Napoli), Insula V.31, Casa del Sacello di Legno",1,79,Latin,Graffito/incised
AGP-EDR145936,Herculaneum,432873,Echio va(le),"Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",1,79,Latin,charcoal
AGP-EDR140204,Herculaneum,432873,IIII P(ublius) Quin(tilius?),"Ercolano (Napoli), Insula III.19, Casa dell'Albergo",1,79,Latin,Graffito/incised
AGP-EDR140167,Herculaneum,432873,CEN,"Ercolano (Napoli), Insula V.31, Casa del Sacello di Legno",1,79,Latin,Graffito/incised
AGP-EDR142438,Herculaneum,432873,Q(uintus) [-] LA,"Ercolano (Napoli), Insula IV.19, Casa della Stoffa",1,79,Latin,Graffito/incised
AGP-EDR142437,Herculaneum,432873,XI,"Ercolano (Napoli), Insula IV.15-16, Grande Taberna",1,79,Latin,Graffito/incised
AGP-EDR153850,Herculaneum,432873,S(emis) C Y ((mille)) S(emis) S(emis),"Ercolano (Napoli), Insula Orientalis II.4, Palaestra",1,79,Latin,Graffito/incised
AGP-EDR154368,Herculaneum,432873,"[F]usci Cilix
Cilix","Ercolano (Napoli), Terme Suburbane",1,79,Latin,Graffito/incised
AGP-EDR154566,Herculaneum,432873,"Exemta (:exempta)
stecora (:stercora)
a(ssibus) XI","Ercolano (Napoli), Insula VI.13, Casa del Salone Nero",1,79,Latin,Graffito/incised
AGP-EDR153357,Herculaneum,432873,CAI,"Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
AGP-EDR153609,Herculaneum,432873,METI,"Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
AGP-EDR154541,Herculaneum,432873,((:phallus)),"Ercolano (Napoli), Rampa",1,79,Latin,Graffito/incised
AGP-EDR151865,Herculaneum,432873,REST ((:tres lineae aequae)),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,Latin,charcoal
AGP-EDR151901,Herculaneum,432873,[- - - d]ece[mbr?- - -],"Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",1,79,Latin,charcoal
AGP-EDR159776,Herculaneum,432873,AXBVCD,"Ercolano (Napoli), Insula II.2, Casa di Argo",1,79,Latin,Graffito/incised
AGP-EDR145941,Herculaneum,432873,"va(le?)
[---]rio [I?]sidoru
IX
((:viri caput))
","Ercolano (Napoli), Decumanus Inferior (locus incertus)",1,79,Latin,Graffito/incised
AGP-EDR151894,Herculaneum,432873,"Artorius 
[- - -]IIIII II III","Ercolano (Napoli), Insula Orientalis I.1, Casa della Gemma",1,79,Latin,Graffito/incised
AGP-EDR151896,Herculaneum,432873,Fatuus,"Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",1,79,Latin,Graffito/incised
AGP-EDR152999,Herculaneum,432873,Quartu,"Ercolano (Napoli), Insula VI.29, Casa dei Due Atri",1,79,Latin,Graffito/incised
AGP-EDR144349,Herculaneum,432873,"((:basis columnae)) 
","Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,,Graffito/incised
AGP-EDR145006,Herculaneum,432873,"((:cervus a cane assultatus)) 
","Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,,Graffito/incised
AGP-EDR150399,Herculaneum,432873,L(uci) Aviani votus (:votum),"Ercolano (Napoli), Insula V.15, Casa del Bicentenario",1,79,Latin,charcoal
AGP-EDR153110,Herculaneum,432873,Q(uintus)  M[---] Antu[s ---],"Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
AGP-EDR144347,Herculaneum,432873,"((:basis columnae cum parte columnae ornamentae et fortasse scalae)) 
","Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,,Graffito/incised
AGP-EDR145935,Herculaneum,432873,"((:cervus stans))
","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali (Terme Femminili)",1,79,,Graffito/incised
AGP-EDR144350,Herculaneum,432873,((:basis columnae)),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,,Graffito/incised
AGP-EDR154439,Herculaneum,432873,IIIIIIIIIIIIIIIIIIII,"Ercolano (Napoli), Insula Orientalis II.9, Taberna",1,79,,Graffito/incised
AGP-EDR154446,Herculaneum,432873,IIIIIIIIIIIIIIII,"Ercolano (Napoli), Insula Orientalis II.10, Bottega del Gemmario",1,79,Latin,Graffito/incised
AGP-EDR151861,Herculaneum,432873,AL&#803;S&#803;,"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,Latin,charcoal
AGP-EDR156782,Herculaneum,432873,((:caput gladiatoris ad sin. versum et galea armatum)),"Ercolano (Napoli), Clivus ad Cloacam / Accesso alla Fogna",1,79,,painted
AGP-EDR151866,Herculaneum,432873,Onesimus,"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",1,79,Latin,Graffito/incised
AGP-EDR154185,Herculaneum,432873,"Apelles cubicularius
cum Dextro Caesar(is)
pranderunt hic
iucundissime et
future simul.","Ercolano (Napoli), Terme Suburbane",1,79,Latin,Graffito/incised
AGP-EDR154372,Herculaneum,432873,Caetronius,"Ercolano (Napoli), Rampa",1,79,Latin,Graffito/incised
AGP-EDR140135,Herculaneum,432873,Hic amor sapiet,"Ercolano (Napoli), R of Insula V.1, Facade",1,79,Latin,Graffito/incised
AGP-EDR154542,Herculaneum,432873,[---]inibu[s? ---] feliciter,"Ercolano (Napoli), Rampa",1,79,Latin,other; 'red rock'
AGP-EDR154563,Herculaneum,432873,Va(le) va(le),"Ercolano (Napoli), Rampa",1,79,Latin,Graffito/incised
AGP-EDR151801,Herculaneum,432873,Mus,"Ercolano (Napoli), Insula III.11, Casa del Tramezzo di Legno",1,79,Latin,Graffito/incised
